Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2019-06-26,,,,,,,,,,,,,,4,1,1,7,11,8,,1,1,2,
2019-06-27,,,,,1,1,3,3,2,,1,3,2,3,7,1,12,14,7,5,3,2,1,
2019-06-28,,,,1,3,,3,4,,1,1,2,3,2,5,5,7,6,4,2,,1,,
2019-06-29,,,,,,1,3,,1,7,4,2,7,4,7,3,4,1,,,4,1,,
2019-06-30,,,,,1,1,1,,1,,4,11,4,4,6,3,2,1,1,2,4,,,
2019-07-01,,,,,,3,8,3,2,,2,1,3,2,1,2,13,10,2,4,2,,,
2019-07-02,,,,,,5,6,4,,,1,3,5,4,5,3,11,12,8,5,1,,1,
2019-07-03,,,,,,4,5,5,1,1,1,2,3,2,6,8,10,14,7,1,2,1,,
2019-07-04,,,,,,4,5,4,3,,1,2,6,5,7,5,10,11,2,8,2,3,,1
2019-07-05,,,,1,,1,5,3,2,,1,3,2,2,5,4,11,5,5,8,1,,,
2019-07-06,,,,,,1,2,,1,2,3,4,9,2,2,5,4,6,6,4,6,,4,
2019-07-07,1,,,,,,,1,1,4,8,12,5,8,2,5,2,,3,2,3,1,,
2019-07-08,,,,,1,3,5,4,2,2,2,4,1,3,3,3,16,11,3,3,4,,,
2019-07-09,,,,,,4,4,7,1,1,1,2,1,4,2,2,10,9,2,5,1,2,,
2019-07-10,1,1,,,,4,4,4,1,2,1,8,5,3,3,3,8,17,7,,3,1,,
2019-07-11,,,,,1,1,3,4,1,1,,3,1,6,1,5,13,8,7,7,3,1,,1
2019-07-12,,,,,1,1,6,2,,1,3,,8,6,8,7,9,5,2,3,1,4,3,
2019-07-13,,,,,,,2,2,2,,5,4,7,2,1,5,3,3,2,,1,3,1,
2019-07-14,,,,,,,2,,1,2,5,2,6,4,7,4,1,7,2,4,1,,3,
2019-07-15,,,,,1,2,3,5,1,1,1,3,5,4,5,5,13,9,13,6,1,,2,
2019-07-16,,,1,,,1,5,5,1,1,2,,4,2,3,3,16,10,3,5,,1,,1
2019-07-17,,,,,1,1,5,5,1,4,2,1,5,4,2,5,12,12,3,2,3,,,
2019-07-18,,,,1,1,1,3,9,1,1,1,2,3,5,3,4,12,10,8,2,,3,1,
2019-07-19,,,,,2,1,4,2,2,2,2,,2,3,2,3,4,2,1,2,1,,3,
2019-07-20,,,,,1,1,,,,3,2,4,2,2,4,,4,1,1,,,2,1,
2019-07-21,,1,,,,,2,,1,4,10,7,5,3,,1,4,,3,4,6,,1,1
2019-07-22,,,,,,,4,4,5,,2,2,2,7,1,3,16,4,8,1,,5,1,
2019-07-23,,,,1,,,4,8,2,3,4,3,14,4,4,3,12,8,4,1,6,1,,
2019-07-24,,,,,,,5,3,2,1,2,2,4,1,3,6,13,8,8,3,1,1,,
2019-07-25,,,,,,,4,6,4,1,5,3,1,6,5,2,11,1,6,4,1,2,,
2019-07-26,,,,,,,5,2,1,1,2,3,1,7,2,1,8,4,4,1,2,,1,
2019-07-27,,,,,,1,,,,2,,1,7,4,,,1,3,,1,,1,,
2019-07-28,,,,,1,,,1,2,,3,,5,2,2,6,,4,1,,,,,
2019-07-29,,,,,,1,3,1,2,,1,,1,3,1,6,7,9,8,,3,2,1,
2019-07-30,1,,,,1,1,4,3,1,1,3,,3,7,3,3,7,3,2,1,,1,,
2019-07-31,,,,,,1,2,1,1,1,3,2,3,3,3,1,9,5,2,3,1,,,
2019-08-01,,,,,,1,3,4,1,,4,2,2,3,3,3,8,6,10,1,,,,
2019-08-02,,,,,,,4,2,1,1,1,3,8,2,2,5,10,3,4,4,,1,,1
2019-08-03,,,,,,1,1,1,1,3,6,6,8,5,5,9,4,7,2,,1,1,,1
2019-08-04,,,,,1,,1,1,,8,2,1,6,3,7,2,,2,6,2,,,2,
2019-08-05,,1,,,,3,5,1,,1,4,5,3,4,5,6,17,6,1,3,5,,,
2019-08-06,,,,,,1,4,3,,2,3,2,3,3,3,6,11,5,8,1,2,5,,
2019-08-07,,,,,,1,5,2,,1,1,7,1,3,3,4,5,10,4,2,1,,,
2019-08-08,,,,,,2,5,3,,1,5,2,2,2,3,7,9,15,6,4,3,1,,
2019-08-09,,,,,,,2,2,,,1,1,2,2,1,3,2,10,1,1,,2,,
2019-08-10,,,,,,,,,,2,2,,2,2,,1,,3,,1,,1,,
2019-08-11,,,,,,,1,,,4,11,1,4,3,2,4,1,,3,2,8,,,
2019-08-12,,,,,,1,5,4,3,1,3,,1,6,1,7,8,6,5,3,2,,,
2019-08-13,,,,,,2,6,4,1,1,1,4,4,2,5,2,12,14,7,4,3,1,1,1
2019-08-14,,,,,,1,4,3,,2,2,1,1,2,2,1,6,8,2,,,,,
2019-08-15,,,,,,1,7,3,1,,1,1,4,3,1,2,5,10,,4,2,1,3,1
2019-08-16,,,,,,,4,2,,,2,,1,,,4,3,4,2,2,,,,
2019-08-17,,,,,,,1,1,,1,1,,6,7,4,4,1,4,,3,1,1,,
2019-08-18,,,,,,,1,,2,2,2,3,2,1,12,4,5,1,2,,2,1,,
