Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2019-07-03,,,,,,,,,,,,,,2,3,,2,,,2,2,,,
2019-07-04,,,,,,,,3,,,1,1,1,3,4,2,,,3,,3,1,,
2019-07-05,,,,,,,,,1,,1,1,3,1,1,2,2,1,1,3,2,,,
2019-07-06,,,,,,1,,,,,,2,2,,,2,1,1,,,2,,,
2019-07-07,,,,,,1,,1,2,2,6,1,2,2,2,3,1,1,1,,1,,,
2019-07-08,,,1,,,,,4,2,,2,1,,,1,2,,3,,,,,4,
2019-07-09,,,,,,,1,1,2,,,1,,1,2,,2,3,,1,1,1,1,
2019-07-10,1,,,,,1,,3,5,,,,1,1,,,1,,,,,1,,
2019-07-11,,,,,1,,,2,,,,,1,1,,2,,2,2,,2,,,1
2019-07-12,1,,,,,2,1,3,,1,1,,1,,2,2,1,1,1,,1,1,,
2019-07-13,1,,,,,1,,1,,,1,2,2,1,,,3,,,,,1,1,
2019-07-14,,,1,,,,,,,,1,,,1,1,1,3,1,,3,,,1,
2019-07-15,,,,,,1,1,,1,1,1,2,,3,2,1,3,2,1,,1,,2,1
2019-07-16,,,,,,,2,1,1,1,2,,1,,1,2,,6,4,1,,1,,
2019-07-17,1,,,,,,1,1,1,3,,,2,2,,5,1,,,1,2,,1,
2019-07-18,1,,,,,,1,2,1,1,,,3,4,2,1,4,1,,1,,1,,
2019-07-19,1,,,,,1,,,1,1,1,1,1,1,,,2,,1,1,1,,,
2019-07-20,2,,,,,1,,,,,,2,4,1,3,1,1,,,1,,1,1,
2019-07-21,,1,,1,,,,,,2,,1,1,,1,1,,,1,,1,,,1
2019-07-22,1,,,,,,1,,1,1,1,,,3,,4,2,1,,,1,,,
2019-07-23,1,,,,,1,,1,1,1,2,2,1,4,,1,,3,4,3,,,,
2019-07-24,,,1,,,1,,2,2,1,1,,2,,1,5,,2,1,2,2,1,3,2
2019-07-25,,,,,,1,,1,1,,2,2,,,2,1,1,1,2,,3,1,,1
2019-07-26,1,,,,,1,,1,2,1,,,2,,,3,6,1,,2,,,,2
2019-07-27,,,,,,2,,,2,,,1,2,,1,,,3,1,1,2,1,,1
2019-07-28,,,,,1,,1,,,1,,,,1,,5,,,1,1,1,,,
2019-07-29,,,,,,4,,,,1,,,2,,,2,1,2,1,1,3,1,,1
2019-07-30,1,,,,,,,1,,1,,2,2,,2,,2,1,,1,1,4,,
2019-07-31,1,,,,,2,,1,1,,,1,1,,1,2,,1,,2,,1,1,
